"Notes","State","State Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","2015","2015","Jan., 2015","2015/01",12,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Feb., 2016","2016/02",10,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","May, 2016","2016/05",10,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Jun., 2016","2016/06",32,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Jul., 2016","2016/07",16,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Aug., 2016","2016/08",19,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Sep., 2016","2016/09",11,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Oct., 2016","2016/10",10,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Nov., 2016","2016/11",15,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Dec., 2016","2016/12",18,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Jan., 2017","2017/01",11,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Feb., 2017","2017/02",13,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Mar., 2017","2017/03",13,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","May, 2017","2017/05",23,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Jun., 2017","2017/06",23,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Jul., 2017","2017/07",16,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Aug., 2017","2017/08",18,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Sep., 2017","2017/09",18,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Oct., 2017","2017/10",17,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Nov., 2017","2017/11",13,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Dec., 2017","2017/12",27,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jan., 2018","2018/01",12,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02",10,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Mar., 2018","2018/03",14,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Apr., 2018","2018/04",13,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","May, 2018","2018/05",11,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Aug., 2018","2018/08",11,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09",14,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Oct., 2018","2018/10",14,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Nov., 2018","2018/11",15,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Dec., 2018","2018/12",15,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jan., 2019","2019/01",17,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Feb., 2019","2019/02",15,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Mar., 2019","2019/03",12,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Apr., 2019","2019/04",13,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","May, 2019","2019/05",15,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jun., 2019","2019/06",22,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jul., 2019","2019/07",20,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Aug., 2019","2019/08",20,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Sep., 2019","2019/09",14,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Oct., 2019","2019/10",20,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Nov., 2019","2019/11",18,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Dec., 2019","2019/12",27,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Jan., 2020","2020/01",17,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Feb., 2020","2020/02",26,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Mar., 2020","2020/03",37,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Apr., 2020","2020/04",39,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","May, 2020","2020/05",63,Not Applicable,Not Applicable
