"Notes","State","State Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","2009","2009","Jan., 2009","2009/01",10,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04",12,Not Applicable,Not Applicable
,"Alabama","01","2010","2010","Apr., 2010","2010/04",11,Not Applicable,Not Applicable
,"Alabama","01","2010","2010","Oct., 2010","2010/10",11,Not Applicable,Not Applicable
,"Alabama","01","2011","2011","Feb., 2011","2011/02",12,Not Applicable,Not Applicable
,"Alabama","01","2011","2011","Apr., 2011","2011/04",14,Not Applicable,Not Applicable
,"Alabama","01","2011","2011","Sep., 2011","2011/09",11,Not Applicable,Not Applicable
,"Alabama","01","2013","2013","Dec., 2013","2013/12",11,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Jan., 2014","2014/01",13,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Mar., 2014","2014/03",11,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Aug., 2014","2014/08",10,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Mar., 2015","2015/03",14,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Sep., 2015","2015/09",15,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Feb., 2016","2016/02",10,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Aug., 2016","2016/08",10,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Jan., 2017","2017/01",15,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Feb., 2017","2017/02",14,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Mar., 2017","2017/03",18,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Apr., 2017","2017/04",12,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","May, 2017","2017/05",10,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Jun., 2017","2017/06",12,Not Applicable,Not Applicable
