"Notes","State","State Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","2007","2007","Jan., 2007","2007/01",12,Not Applicable,Not Applicable
,"Alabama","01","2008","2008","Feb., 2008","2008/02",13,Not Applicable,Not Applicable
,"Alabama","01","2008","2008","Aug., 2008","2008/08",12,Not Applicable,Not Applicable
,"Alabama","01","2008","2008","Oct., 2008","2008/10",12,Not Applicable,Not Applicable
,"Alabama","01","2008","2008","Nov., 2008","2008/11",10,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Apr., 2009","2009/04",10,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","May, 2009","2009/05",11,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Aug., 2009","2009/08",10,Not Applicable,Not Applicable
,"Alabama","01","2011","2011","Apr., 2011","2011/04",10,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Jun., 2014","2014/06",10,Not Applicable,Not Applicable
,"Arizona","04","2003","2003","Jul., 2003","2003/07",11,Not Applicable,Not Applicable
,"Arizona","04","2004","2004","Feb., 2004","2004/02",12,Not Applicable,Not Applicable
,"Arizona","04","2005","2005","Feb., 2005","2005/02",11,Not Applicable,Not Applicable
,"Arizona","04","2005","2005","May, 2005","2005/05",11,Not Applicable,Not Applicable
,"Arizona","04","2005","2005","Nov., 2005","2005/11",12,Not Applicable,Not Applicable
,"Arizona","04","2006","2006","Jan., 2006","2006/01",10,Not Applicable,Not Applicable
,"Arizona","04","2006","2006","Jul., 2006","2006/07",10,Not Applicable,Not Applicable
,"Arizona","04","2006","2006","Dec., 2006","2006/12",10,Not Applicable,Not Applicable
,"Arizona","04","2007","2007","Jan., 2007","2007/01",12,Not Applicable,Not Applicable
,"Arizona","04","2007","2007","Aug., 2007","2007/08",12,Not Applicable,Not Applicable
,"Arizona","04","2008","2008","Jan., 2008","2008/01",11,Not Applicable,Not Applicable
,"Arizona","04","2008","2008","Apr., 2008","2008/04",11,Not Applicable,Not Applicable
,"Arizona","04","2008","2008","May, 2008","2008/05",10,Not Applicable,Not Applicable
,"Arizona","04","2008","2008","Aug., 2008","2008/08",15,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","Feb., 2009","2009/02",11,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","Apr., 2009","2009/04",10,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","May, 2009","2009/05",12,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","Jul., 2009","2009/07",10,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","Sep., 2009","2009/09",11,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","Oct., 2009","2009/10",10,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","Nov., 2009","2009/11",13,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Jan., 2010","2010/01",11,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Mar., 2010","2010/03",11,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","May, 2010","2010/05",10,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Jul., 2010","2010/07",10,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Sep., 2010","2010/09",10,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Dec., 2010","2010/12",12,Not Applicable,Not Applicable
,"Arizona","04","2011","2011","Jul., 2011","2011/07",10,Not Applicable,Not Applicable
,"Arizona","04","2012","2012","Aug., 2012","2012/08",10,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Jun., 2013","2013/06",11,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Sep., 2013","2013/09",10,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Jan., 2014","2014/01",11,Not Applicable,Not Applicable
,"Arizona","04","2015","2015","Aug., 2015","2015/08",16,Not Applicable,Not Applicable
,"Arizona","04","2016","2016","Aug., 2016","2016/08",10,Not Applicable,Not Applicable
,"Arizona","04","2016","2016","Sep., 2016","2016/09",10,Not Applicable,Not Applicable
,"Arizona","04","2017","2017","Jun., 2017","2017/06",10,Not Applicable,Not Applicable
,"Arizona","04","2017","2017","Oct., 2017","2017/10",13,Not Applicable,Not Applicable
,"Arizona","04","2017","2017","Nov., 2017","2017/11",12,Not Applicable,Not Applicable
,"Arizona","04","2019","2019","Jul., 2019","2019/07",10,Not Applicable,Not Applicable
,"Arizona","04","2020","2020","Jan., 2020","2020/01",10,Not Applicable,Not Applicable
,"Arizona","04","2020","2020","Jul., 2020","2020/07",11,Not Applicable,Not Applicable
,"Arizona","04","2020","2020","Oct., 2020","2020/10",11,Not Applicable,Not Applicable
,"Arkansas","05","2008","2008","Feb., 2008","2008/02",10,Not Applicable,Not Applicable
,"Arkansas","05","2008","2008","Mar., 2008","2008/03",10,Not Applicable,Not Applicable
,"Arkansas","05","2008","2008","Sep., 2008","2008/09",10,Not Applicable,Not Applicable
,"Arkansas","05","2009","2009","May, 2009","2009/05",10,Not Applicable,Not Applicable
,"California","06","1999","1999","Jul., 1999","1999/07",10,Not Applicable,Not Applicable
,"California","06","1999","1999","Sep., 1999","1999/09",10,Not Applicable,Not Applicable
,"California","06","2002","2002","Apr., 2002","2002/04",11,Not Applicable,Not Applicable
,"California","06","2002","2002","Jul., 2002","2002/07",10,Not Applicable,Not Applicable
,"California","06","2002","2002","Aug., 2002","2002/08",11,Not Applicable,Not Applicable
,"California","06","2002","2002","Oct., 2002","2002/10",16,Not Applicable,Not Applicable
,"California","06","2002","2002","Dec., 2002","2002/12",14,Not Applicable,Not Applicable
