state,state_code,year,year_code,month,month_code,deaths,drug_type,date,population_annual,mortality_rate
Alabama,01,2007,2007,"Jan., 2007",2007/01,12,Methadone,2007-01-01,4672840,0.25680314327047365
Alabama,01,2008,2008,"Feb., 2008",2008/02,13,Methadone,2008-02-01,4718206,0.2755284529755589
Alabama,01,2008,2008,"Aug., 2008",2008/08,12,Methadone,2008-08-01,4718206,0.25433395659282365
Alabama,01,2008,2008,"Oct., 2008",2008/10,12,Methadone,2008-10-01,4718206,0.25433395659282365
Alabama,01,2008,2008,"Nov., 2008",2008/11,10,Methadone,2008-11-01,4718206,0.211944963827353
Alabama,01,2009,2009,"Apr., 2009",2009/04,10,Methadone,2009-04-01,4757938,0.21017508004517924
Alabama,01,2009,2009,"May, 2009",2009/05,11,Methadone,2009-05-01,4757938,0.23119258804969717
Alabama,01,2009,2009,"Aug., 2009",2009/08,10,Methadone,2009-08-01,4757938,0.21017508004517924
Alabama,01,2009,2009,"Jan., 2009",2009/01,10,Prescription_Opioids,2009-01-01,4757938,0.21017508004517924
Alabama,01,2009,2009,"Apr., 2009",2009/04,12,Prescription_Opioids,2009-04-01,4757938,0.25221009605421507
Alabama,01,2010,2010,"Apr., 2010",2010/04,11,Prescription_Opioids,2010-04-01,4779736,0.23013823357608035
Alabama,01,2010,2010,"Oct., 2010",2010/10,11,Prescription_Opioids,2010-10-01,4779736,0.23013823357608035
Alabama,01,2011,2011,"Apr., 2011",2011/04,10,Methadone,2011-04-01,4802740,0.20821447756905434
Alabama,01,2011,2011,"Feb., 2011",2011/02,12,Prescription_Opioids,2011-02-01,4802740,0.24985737308286518
Alabama,01,2011,2011,"Apr., 2011",2011/04,14,Prescription_Opioids,2011-04-01,4802740,0.29150026859667605
Alabama,01,2011,2011,"Sep., 2011",2011/09,11,Prescription_Opioids,2011-09-01,4802740,0.2290359253259598
Alabama,01,2013,2013,"Dec., 2013",2013/12,11,Prescription_Opioids,2013-12-01,4833722,0.2275679072979373
Alabama,01,2014,2014,"Feb., 2014",2014/02,11,Heroin,2014-02-01,4849377,0.22683326126221987
Alabama,01,2014,2014,"Mar., 2014",2014/03,14,Heroin,2014-03-01,4849377,0.288696877970098
