"Notes","State","State Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","2014","2014","Feb., 2014","2014/02",11,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Mar., 2014","2014/03",14,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Apr., 2014","2014/04",10,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Jul., 2014","2014/07",11,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Aug., 2014","2014/08",15,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Oct., 2014","2014/10",16,Not Applicable,Not Applicable
,"Alabama","01","2014","2014","Dec., 2014","2014/12",11,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Mar., 2015","2015/03",15,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Apr., 2015","2015/04",16,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Sep., 2015","2015/09",12,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Oct., 2015","2015/10",13,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Jan., 2016","2016/01",11,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Jun., 2016","2016/06",20,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Jul., 2016","2016/07",11,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Aug., 2016","2016/08",11,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Sep., 2016","2016/09",10,Not Applicable,Not Applicable
,"Alabama","01","2016","2016","Dec., 2016","2016/12",19,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Jan., 2017","2017/01",20,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","May, 2017","2017/05",13,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Sep., 2017","2017/09",12,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Nov., 2017","2017/11",11,Not Applicable,Not Applicable
,"Alabama","01","2017","2017","Dec., 2017","2017/12",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Feb., 2018","2018/02",15,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Mar., 2018","2018/03",17,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Apr., 2018","2018/04",14,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","May, 2018","2018/05",10,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jun., 2018","2018/06",13,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Jul., 2018","2018/07",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Aug., 2018","2018/08",10,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09",11,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Mar., 2019","2019/03",15,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Apr., 2019","2019/04",10,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","May, 2019","2019/05",15,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jun., 2019","2019/06",11,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jul., 2019","2019/07",17,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Aug., 2019","2019/08",14,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Oct., 2019","2019/10",16,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Nov., 2019","2019/11",17,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Jan., 2020","2020/01",10,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Mar., 2020","2020/03",16,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Apr., 2020","2020/04",12,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","May, 2020","2020/05",24,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Jun., 2020","2020/06",14,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Aug., 2020","2020/08",13,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Nov., 2020","2020/11",12,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","Apr., 2009","2009/04",16,Not Applicable,Not Applicable
,"Arizona","04","2009","2009","May, 2009","2009/05",11,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Apr., 2010","2010/04",11,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","May, 2010","2010/05",10,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Jun., 2010","2010/06",10,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Sep., 2010","2010/09",10,Not Applicable,Not Applicable
,"Arizona","04","2010","2010","Nov., 2010","2010/11",10,Not Applicable,Not Applicable
,"Arizona","04","2011","2011","Jan., 2011","2011/01",10,Not Applicable,Not Applicable
,"Arizona","04","2011","2011","Apr., 2011","2011/04",10,Not Applicable,Not Applicable
,"Arizona","04","2011","2011","May, 2011","2011/05",18,Not Applicable,Not Applicable
,"Arizona","04","2011","2011","Jun., 2011","2011/06",14,Not Applicable,Not Applicable
,"Arizona","04","2011","2011","Nov., 2011","2011/11",12,Not Applicable,Not Applicable
,"Arizona","04","2011","2011","Dec., 2011","2011/12",10,Not Applicable,Not Applicable
,"Arizona","04","2012","2012","Feb., 2012","2012/02",10,Not Applicable,Not Applicable
,"Arizona","04","2012","2012","Mar., 2012","2012/03",14,Not Applicable,Not Applicable
,"Arizona","04","2012","2012","Jun., 2012","2012/06",11,Not Applicable,Not Applicable
,"Arizona","04","2012","2012","Jul., 2012","2012/07",10,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Feb., 2013","2013/02",10,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Mar., 2013","2013/03",13,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Apr., 2013","2013/04",14,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","May, 2013","2013/05",13,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Jul., 2013","2013/07",12,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Aug., 2013","2013/08",13,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Sep., 2013","2013/09",16,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Nov., 2013","2013/11",15,Not Applicable,Not Applicable
,"Arizona","04","2013","2013","Dec., 2013","2013/12",15,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Jan., 2014","2014/01",13,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Feb., 2014","2014/02",15,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Apr., 2014","2014/04",18,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","May, 2014","2014/05",19,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Jun., 2014","2014/06",14,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Jul., 2014","2014/07",17,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Aug., 2014","2014/08",14,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Sep., 2014","2014/09",16,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Oct., 2014","2014/10",15,Not Applicable,Not Applicable
,"Arizona","04","2014","2014","Nov., 2014","2014/11",20,Not Applicable,Not Applicable
